"sequence" "support"
"1408" "<{대학,연구,이상,인하대}>" 0.1008
"1409" "<{대학,서울대,연구,이상,인하대}>" 0.1008
"1410" "<{대학,서울대,이상,인하대}>" 0.1328
"1411" "<{학교},{오늘,인하대}>" 0.1072
"1412" "<{전국},{오늘,인하대}>" 0.1072
"1413" "<{인하대},{오늘,인하대}>" 0.2496
"1414" "<{오늘},{오늘,인하대}>" 0.112
"1415" "<{사람},{오늘,인하대}>" 0.1088
"1416" "<{대학},{오늘,인하대}>" 0.1488
"1417" "<{서울대,오늘,인하대}>" 0.112
"1418" "<{새끼,오늘,인하대}>" 0.1088
"1419" "<{사람,오늘,인하대}>" 0.2032
"1420" "<{대학,오늘,인하대}>" 0.2144
"1421" "<{인하대,전국},{오늘,인하대}>" 0.1072
"1422" "<{대학,전국},{오늘,인하대}>" 0.1008
"1423" "<{대학,인하대,전국},{오늘,인하대}>" 0.1008
"1424" "<{대학,인하대},{오늘,인하대}>" 0.1408
"1425" "<{대학,서울대,오늘,인하대}>" 0.104
"1426" "<{인하대},{대학,오늘,인하대}>" 0.1008
"1427" "<{전국},{연구,인하대}>" 0.1152
"1428" "<{인하대},{연구,인하대}>" 0.1856
"1429" "<{서울대},{연구,인하대}>" 0.1056
"1430" "<{대학},{연구,인하대}>" 0.1376
"1431" "<{센터,연구,인하대}>" 0.2464
"1432" "<{서울대,연구,인하대}>" 0.3024
"1433" "<{사업,연구,인하대}>" 0.1184
"1434" "<{대학,연구,인하대}>" 0.328
"1435" "<{인하대,전국},{연구,인하대}>" 0.1152
"1436" "<{대학,전국},{연구,인하대}>" 0.1088
"1437" "<{대학,인하대,전국},{연구,인하대}>" 0.1088
"1438" "<{서울대,인하대},{연구,인하대}>" 0.1056
"1439" "<{대학,인하대},{연구,인하대}>" 0.1344
"1440" "<{대학,서울대,인하대},{연구,인하대}>" 0.1024
"1441" "<{대학,서울대},{연구,인하대}>" 0.1024
"1442" "<{인하대},{센터,연구,인하대}>" 0.136
"1443" "<{대학},{센터,연구,인하대}>" 0.1104
"1444" "<{서울대,센터,연구,인하대}>" 0.2304
"1445" "<{대학,센터,연구,인하대}>" 0.2464
"1446" "<{대학,인하대},{센터,연구,인하대}>" 0.1088
"1447" "<{인하대},{서울대,센터,연구,인하대}>" 0.1248
"1448" "<{대학},{서울대,센터,연구,인하대}>" 0.104
"1449" "<{대학,서울대,센터,연구,인하대}>" 0.2304
"1450" "<{대학,인하대},{서울대,센터,연구,인하대}>" 0.1024
"1451" "<{인하대},{대학,서울대,센터,연구,인하대}>" 0.1248
"1452" "<{대학},{대학,서울대,센터,연구,인하대}>" 0.104
"1453" "<{대학,인하대},{대학,서울대,센터,연구,인하대}>" 0.1024
"1454" "<{인하대},{대학,센터,연구,인하대}>" 0.136
"1455" "<{대학},{대학,센터,연구,인하대}>" 0.1104
"1456" "<{대학,인하대},{대학,센터,연구,인하대}>" 0.1088
"1457" "<{전국},{서울대,연구,인하대}>" 0.1072
"1458" "<{인하대},{서울대,연구,인하대}>" 0.168
"1459" "<{서울대},{서울대,연구,인하대}>" 0.1024
"1460" "<{대학},{서울대,연구,인하대}>" 0.128
"1461" "<{사업,서울대,연구,인하대}>" 0.1136
"1462" "<{대학,서울대,연구,인하대}>" 0.3024
"1463" "<{인하대,전국},{서울대,연구,인하대}>" 0.1072
"1464" "<{대학,전국},{서울대,연구,인하대}>" 0.1008
"1465" "<{대학,인하대,전국},{서울대,연구,인하대}>" 0.1008
"1466" "<{서울대,인하대},{서울대,연구,인하대}>" 0.1024
"1467" "<{대학,인하대},{서울대,연구,인하대}>" 0.1248
"1468" "<{대학,사업,서울대,연구,인하대}>" 0.1136
"1469" "<{전국},{대학,서울대,연구,인하대}>" 0.1056
"1470" "<{인하대},{대학,서울대,연구,인하대}>" 0.1664
"1471" "<{서울대},{대학,서울대,연구,인하대}>" 0.1008
"1472" "<{대학},{대학,서울대,연구,인하대}>" 0.1264
"1473" "<{인하대,전국},{대학,서울대,연구,인하대}>" 0.1056
"1474" "<{서울대,인하대},{대학,서울대,연구,인하대}>" 0.1008
"1475" "<{대학,인하대},{대학,서울대,연구,인하대}>" 0.1232
"1476" "<{대학,사업,연구,인하대}>" 0.1184
"1477" "<{전국},{대학,연구,인하대}>" 0.1136
"1478" "<{인하대},{대학,연구,인하대}>" 0.184
"1479" "<{서울대},{대학,연구,인하대}>" 0.104
"1480" "<{대학},{대학,연구,인하대}>" 0.136
"1481" "<{인하대,전국},{대학,연구,인하대}>" 0.1136
"1482" "<{대학,전국},{대학,연구,인하대}>" 0.1072
"1483" "<{대학,인하대,전국},{대학,연구,인하대}>" 0.1072
"1484" "<{서울대,인하대},{대학,연구,인하대}>" 0.104
"1485" "<{대학,인하대},{대학,연구,인하대}>" 0.1328
"1486" "<{대학,서울대,인하대},{대학,연구,인하대}>" 0.1008
"1487" "<{대학,서울대},{대학,연구,인하대}>" 0.1008
"1488" "<{대학,수시,인하대}>" 0.1072
"1489" "<{전국},{센터,인하대}>" 0.1632
"1490" "<{인하대},{센터,인하대}>" 0.2384
"1491" "<{센터},{센터,인하대}>" 0.1168
"1492" "<{서울대},{센터,인하대}>" 0.16
"1493" "<{대학},{센터,인하대}>" 0.1904
"1494" "<{서울대,센터,인하대}>" 0.344
"1495" "<{사업,센터,인하대}>" 0.1232
"1496" "<{대학,센터,인하대}>" 0.384
"1497" "<{센터,공동,인하대}>" 0.104
"1498" "<{인하대,전국},{센터,인하대}>" 0.1632
"1499" "<{센터,전국},{센터,인하대}>" 0.1136
"1500" "<{서울대,전국},{센터,인하대}>" 0.1456
"1501" "<{대학,전국},{센터,인하대}>" 0.1584
"1502" "<{센터,인하대,전국},{센터,인하대}>" 0.1136
"1503" "<{서울대,인하대,전국},{센터,인하대}>" 0.1456
"1504" "<{대학,인하대,전국},{센터,인하대}>" 0.1584
"1505" "<{서울대,센터,인하대,전국},{센터,인하대}>" 0.1024
"1506" "<{대학,센터,인하대,전국},{센터,인하대}>" 0.112
"1507" "<{대학,서울대,센터,인하대,전국},{센터,인하대}>" 0.1024
"1508" "<{대학,서울대,인하대,전국},{센터,인하대}>" 0.144
"1509" "<{서울대,센터,전국},{센터,인하대}>" 0.1024
"1510" "<{대학,센터,전국},{센터,인하대}>" 0.112
"1511" "<{대학,서울대,센터,전국},{센터,인하대}>" 0.1024
"1512" "<{대학,서울대,전국},{센터,인하대}>" 0.144
"1513" "<{센터,인하대},{센터,인하대}>" 0.1168
"1514" "<{서울대,인하대},{센터,인하대}>" 0.16
"1515" "<{대학,인하대},{센터,인하대}>" 0.1888
"1516" "<{서울대,센터,인하대},{센터,인하대}>" 0.1056
"1517" "<{대학,센터,인하대},{센터,인하대}>" 0.1152
"1518" "<{대학,서울대,센터,인하대},{센터,인하대}>" 0.1056
"1519" "<{대학,서울대,인하대},{센터,인하대}>" 0.1584
"1520" "<{서울대,센터},{센터,인하대}>" 0.1056
"1521" "<{대학,센터},{센터,인하대}>" 0.1152
"1522" "<{대학,서울대,센터},{센터,인하대}>" 0.1056
"1523" "<{대학,서울대},{센터,인하대}>" 0.1584
"1524" "<{전국},{서울대,센터,인하대}>" 0.152
"1525" "<{인하대},{서울대,센터,인하대}>" 0.2112
"1526" "<{센터},{서울대,센터,인하대}>" 0.1088
"1527" "<{서울대},{서울대,센터,인하대}>" 0.152
"1528" "<{대학},{서울대,센터,인하대}>" 0.1776
"1529" "<{사업,서울대,센터,인하대}>" 0.1152
"1530" "<{대학,서울대,센터,인하대}>" 0.344
"1531" "<{인하대,전국},{서울대,센터,인하대}>" 0.152
"1532" "<{센터,전국},{서울대,센터,인하대}>" 0.1056
"1533" "<{서울대,전국},{서울대,센터,인하대}>" 0.1392
"1534" "<{대학,전국},{서울대,센터,인하대}>" 0.1472
"1535" "<{센터,인하대,전국},{서울대,센터,인하대}>" 0.1056
"1536" "<{서울대,인하대,전국},{서울대,센터,인하대}>" 0.1392
"1537" "<{대학,인하대,전국},{서울대,센터,인하대}>" 0.1472
"1538" "<{대학,센터,인하대,전국},{서울대,센터,인하대}>" 0.104
"1539" "<{대학,서울대,인하대,전국},{서울대,센터,인하대}>" 0.1376
"1540" "<{대학,센터,전국},{서울대,센터,인하대}>" 0.104
"1541" "<{대학,서울대,전국},{서울대,센터,인하대}>" 0.1376
"1542" "<{센터,인하대},{서울대,센터,인하대}>" 0.1088
"1543" "<{서울대,인하대},{서울대,센터,인하대}>" 0.152
"1544" "<{대학,인하대},{서울대,센터,인하대}>" 0.176
"1545" "<{서울대,센터,인하대},{서울대,센터,인하대}>" 0.1008
"1546" "<{대학,센터,인하대},{서울대,센터,인하대}>" 0.1072
"1547" "<{대학,서울대,센터,인하대},{서울대,센터,인하대}>" 0.1008
"1548" "<{대학,서울대,인하대},{서울대,센터,인하대}>" 0.1504
"1549" "<{서울대,센터},{서울대,센터,인하대}>" 0.1008
"1550" "<{대학,센터},{서울대,센터,인하대}>" 0.1072
"1551" "<{대학,서울대,센터},{서울대,센터,인하대}>" 0.1008
"1552" "<{대학,서울대},{서울대,센터,인하대}>" 0.1504
"1553" "<{대학,사업,서울대,센터,인하대}>" 0.1152
"1554" "<{전국},{대학,서울대,센터,인하대}>" 0.152
"1555" "<{인하대},{대학,서울대,센터,인하대}>" 0.2112
"1556" "<{센터},{대학,서울대,센터,인하대}>" 0.1088
"1557" "<{서울대},{대학,서울대,센터,인하대}>" 0.152
"1558" "<{대학},{대학,서울대,센터,인하대}>" 0.1776
"1559" "<{인하대,전국},{대학,서울대,센터,인하대}>" 0.152
"1560" "<{센터,전국},{대학,서울대,센터,인하대}>" 0.1056
"1561" "<{서울대,전국},{대학,서울대,센터,인하대}>" 0.1392
"1562" "<{대학,전국},{대학,서울대,센터,인하대}>" 0.1472
"1563" "<{센터,인하대,전국},{대학,서울대,센터,인하대}>" 0.1056
"1564" "<{서울대,인하대,전국},{대학,서울대,센터,인하대}>" 0.1392
"1565" "<{대학,인하대,전국},{대학,서울대,센터,인하대}>" 0.1472
"1566" "<{대학,센터,인하대,전국},{대학,서울대,센터,인하대}>" 0.104
"1567" "<{대학,서울대,인하대,전국},{대학,서울대,센터,인하대}>" 0.1376
"1568" "<{대학,센터,전국},{대학,서울대,센터,인하대}>" 0.104
"1569" "<{대학,서울대,전국},{대학,서울대,센터,인하대}>" 0.1376
"1570" "<{센터,인하대},{대학,서울대,센터,인하대}>" 0.1088
"1571" "<{서울대,인하대},{대학,서울대,센터,인하대}>" 0.152
"1572" "<{대학,인하대},{대학,서울대,센터,인하대}>" 0.176
"1573" "<{서울대,센터,인하대},{대학,서울대,센터,인하대}>" 0.1008
"1574" "<{대학,센터,인하대},{대학,서울대,센터,인하대}>" 0.1072
"1575" "<{대학,서울대,센터,인하대},{대학,서울대,센터,인하대}>" 0.1008
"1576" "<{대학,서울대,인하대},{대학,서울대,센터,인하대}>" 0.1504
"1577" "<{서울대,센터},{대학,서울대,센터,인하대}>" 0.1008
"1578" "<{대학,센터},{대학,서울대,센터,인하대}>" 0.1072
"1579" "<{대학,서울대,센터},{대학,서울대,센터,인하대}>" 0.1008
"1580" "<{대학,서울대},{대학,서울대,센터,인하대}>" 0.1504
"1581" "<{대학,사업,센터,인하대}>" 0.1232
"1582" "<{전국},{대학,센터,인하대}>" 0.1632
"1583" "<{인하대},{대학,센터,인하대}>" 0.2352
"1584" "<{센터},{대학,센터,인하대}>" 0.1168
"1585" "<{서울대},{대학,센터,인하대}>" 0.16
"1586" "<{대학},{대학,센터,인하대}>" 0.1904
"1587" "<{대학,센터,공동,인하대}>" 0.104
"1588" "<{인하대,전국},{대학,센터,인하대}>" 0.1632
"1589" "<{센터,전국},{대학,센터,인하대}>" 0.1136
"1590" "<{서울대,전국},{대학,센터,인하대}>" 0.1456
"1591" "<{대학,전국},{대학,센터,인하대}>" 0.1584
"1592" "<{센터,인하대,전국},{대학,센터,인하대}>" 0.1136
"1593" "<{서울대,인하대,전국},{대학,센터,인하대}>" 0.1456
"1594" "<{대학,인하대,전국},{대학,센터,인하대}>" 0.1584
"1595" "<{서울대,센터,인하대,전국},{대학,센터,인하대}>" 0.1024
"1596" "<{대학,센터,인하대,전국},{대학,센터,인하대}>" 0.112
"1597" "<{대학,서울대,센터,인하대,전국},{대학,센터,인하대}>" 0.1024
"1598" "<{대학,서울대,인하대,전국},{대학,센터,인하대}>" 0.144
"1599" "<{서울대,센터,전국},{대학,센터,인하대}>" 0.1024
"1600" "<{대학,센터,전국},{대학,센터,인하대}>" 0.112
"1601" "<{대학,서울대,센터,전국},{대학,센터,인하대}>" 0.1024
"1602" "<{대학,서울대,전국},{대학,센터,인하대}>" 0.144
"1603" "<{센터,인하대},{대학,센터,인하대}>" 0.1168
"1604" "<{서울대,인하대},{대학,센터,인하대}>" 0.16
"1605" "<{대학,인하대},{대학,센터,인하대}>" 0.1888
"1606" "<{서울대,센터,인하대},{대학,센터,인하대}>" 0.1056
"1607" "<{대학,센터,인하대},{대학,센터,인하대}>" 0.1152
"1608" "<{대학,서울대,센터,인하대},{대학,센터,인하대}>" 0.1056
"1609" "<{대학,서울대,인하대},{대학,센터,인하대}>" 0.1584
"1610" "<{서울대,센터},{대학,센터,인하대}>" 0.1056
"1611" "<{대학,센터},{대학,센터,인하대}>" 0.1152
"1612" "<{대학,서울대,센터},{대학,센터,인하대}>" 0.1056
"1613" "<{대학,서울대},{대학,센터,인하대}>" 0.1584
"1614" "<{학교},{서울대,인하대}>" 0.104
"1615" "<{전국},{서울대,인하대}>" 0.2224
"1616" "<{인하대},{서울대,인하대}>" 0.3568
"1617" "<{인하},{서울대,인하대}>" 0.1024
"1618" "<{연구},{서울대,인하대}>" 0.1152
"1619" "<{센터},{서울대,인하대}>" 0.1472
"1620" "<{서울대},{서울대,인하대}>" 0.2144
"1621" "<{대학},{서울대,인하대}>" 0.2688
"1622" "<{사업,서울대,인하대}>" 0.1584
"1623" "<{대학,서울대,인하대}>" 0.5376
"1624" "<{서울대,공동,인하대}>" 0.1024
"1625" "<{인하대,전국},{서울대,인하대}>" 0.2224
"1626" "<{연구,전국},{서울대,인하대}>" 0.1136
"1627" "<{센터,전국},{서울대,인하대}>" 0.1424
"1628" "<{서울대,전국},{서울대,인하대}>" 0.1968
"1629" "<{대학,전국},{서울대,인하대}>" 0.2128
"1630" "<{연구,인하대,전국},{서울대,인하대}>" 0.1136
"1631" "<{센터,인하대,전국},{서울대,인하대}>" 0.1424
"1632" "<{서울대,인하대,전국},{서울대,인하대}>" 0.1968
"1633" "<{대학,인하대,전국},{서울대,인하대}>" 0.2128
"1634" "<{서울대,연구,인하대,전국},{서울대,인하대}>" 0.104
"1635" "<{대학,연구,인하대,전국},{서울대,인하대}>" 0.112
"1636" "<{대학,서울대,연구,인하대,전국},{서울대,인하대}>" 0.1024
"1637" "<{서울대,센터,인하대,전국},{서울대,인하대}>" 0.1296
"1638" "<{대학,센터,인하대,전국},{서울대,인하대}>" 0.1408
"1639" "<{대학,서울대,센터,인하대,전국},{서울대,인하대}>" 0.1296
"1640" "<{대학,서울대,인하대,전국},{서울대,인하대}>" 0.1936
"1641" "<{서울대,연구,전국},{서울대,인하대}>" 0.104
"1642" "<{대학,연구,전국},{서울대,인하대}>" 0.112
"1643" "<{대학,서울대,연구,전국},{서울대,인하대}>" 0.1024
"1644" "<{서울대,센터,전국},{서울대,인하대}>" 0.1296
"1645" "<{대학,센터,전국},{서울대,인하대}>" 0.1408
"1646" "<{대학,서울대,센터,전국},{서울대,인하대}>" 0.1296
"1647" "<{대학,서울대,전국},{서울대,인하대}>" 0.1936
"1648" "<{인하,인하대},{서울대,인하대}>" 0.1024
"1649" "<{연구,인하대},{서울대,인하대}>" 0.1152
"1650" "<{센터,인하대},{서울대,인하대}>" 0.1472
"1651" "<{서울대,인하대},{서울대,인하대}>" 0.2144
"1652" "<{대학,인하대},{서울대,인하대}>" 0.2656
"1653" "<{서울대,연구,인하대},{서울대,인하대}>" 0.1056
"1654" "<{대학,연구,인하대},{서울대,인하대}>" 0.1136
"1655" "<{대학,서울대,연구,인하대},{서울대,인하대}>" 0.104
"1656" "<{서울대,센터,인하대},{서울대,인하대}>" 0.1328
"1657" "<{대학,센터,인하대},{서울대,인하대}>" 0.144
"1658" "<{대학,서울대,센터,인하대},{서울대,인하대}>" 0.1328
"1659" "<{대학,서울대,인하대},{서울대,인하대}>" 0.2096
"1660" "<{서울대,연구},{서울대,인하대}>" 0.1056
"1661" "<{대학,연구},{서울대,인하대}>" 0.1136
"1662" "<{대학,서울대,연구},{서울대,인하대}>" 0.104
"1663" "<{서울대,센터},{서울대,인하대}>" 0.1328
"1664" "<{대학,센터},{서울대,인하대}>" 0.144
"1665" "<{대학,서울대,센터},{서울대,인하대}>" 0.1328
"1666" "<{대학,서울대},{서울대,인하대}>" 0.2096
"1667" "<{대학,사업,서울대,인하대}>" 0.1584
"1668" "<{학교},{대학,서울대,인하대}>" 0.104
"1669" "<{전국},{대학,서울대,인하대}>" 0.216
"1670" "<{인하대},{대학,서울대,인하대}>" 0.3456
"1671" "<{인하},{대학,서울대,인하대}>" 0.1008
"1672" "<{연구},{대학,서울대,인하대}>" 0.1104
"1673" "<{센터},{대학,서울대,인하대}>" 0.1408
"1674" "<{서울대},{대학,서울대,인하대}>" 0.208
"1675" "<{대학},{대학,서울대,인하대}>" 0.2592
"1676" "<{대학,서울대,공동,인하대}>" 0.1024
"1677" "<{인하대,전국},{대학,서울대,인하대}>" 0.216
"1678" "<{연구,전국},{대학,서울대,인하대}>" 0.1088
"1679" "<{센터,전국},{대학,서울대,인하대}>" 0.136
"1680" "<{서울대,전국},{대학,서울대,인하대}>" 0.1904
"1681" "<{대학,전국},{대학,서울대,인하대}>" 0.2064
"1682" "<{연구,인하대,전국},{대학,서울대,인하대}>" 0.1088
"1683" "<{센터,인하대,전국},{대학,서울대,인하대}>" 0.136
"1684" "<{서울대,인하대,전국},{대학,서울대,인하대}>" 0.1904
"1685" "<{대학,인하대,전국},{대학,서울대,인하대}>" 0.2064
"1686" "<{대학,연구,인하대,전국},{대학,서울대,인하대}>" 0.1072
"1687" "<{서울대,센터,인하대,전국},{대학,서울대,인하대}>" 0.1232
"1688" "<{대학,센터,인하대,전국},{대학,서울대,인하대}>" 0.1344
"1689" "<{대학,서울대,센터,인하대,전국},{대학,서울대,인하대}>" 0.1232
"1690" "<{대학,서울대,인하대,전국},{대학,서울대,인하대}>" 0.1872
"1691" "<{대학,연구,전국},{대학,서울대,인하대}>" 0.1072
"1692" "<{서울대,센터,전국},{대학,서울대,인하대}>" 0.1232
"1693" "<{대학,센터,전국},{대학,서울대,인하대}>" 0.1344
"1694" "<{대학,서울대,센터,전국},{대학,서울대,인하대}>" 0.1232
"1695" "<{대학,서울대,전국},{대학,서울대,인하대}>" 0.1872
"1696" "<{인하,인하대},{대학,서울대,인하대}>" 0.1008
"1697" "<{연구,인하대},{대학,서울대,인하대}>" 0.1104
"1698" "<{센터,인하대},{대학,서울대,인하대}>" 0.1408
"1699" "<{서울대,인하대},{대학,서울대,인하대}>" 0.208
"1700" "<{대학,인하대},{대학,서울대,인하대}>" 0.256
"1701" "<{서울대,연구,인하대},{대학,서울대,인하대}>" 0.1008
"1702" "<{대학,연구,인하대},{대학,서울대,인하대}>" 0.1088
"1703" "<{서울대,센터,인하대},{대학,서울대,인하대}>" 0.1264
"1704" "<{대학,센터,인하대},{대학,서울대,인하대}>" 0.1376
"1705" "<{대학,서울대,센터,인하대},{대학,서울대,인하대}>" 0.1264
"1706" "<{대학,서울대,인하대},{대학,서울대,인하대}>" 0.2032
"1707" "<{서울대,연구},{대학,서울대,인하대}>" 0.1008
"1708" "<{대학,연구},{대학,서울대,인하대}>" 0.1088
"1709" "<{서울대,센터},{대학,서울대,인하대}>" 0.1264
"1710" "<{대학,센터},{대학,서울대,인하대}>" 0.1376
"1711" "<{대학,서울대,센터},{대학,서울대,인하대}>" 0.1264
"1712" "<{대학,서울대},{대학,서울대,인하대}>" 0.2032
"1713" "<{인하대},{새끼,인하대}>" 0.1488
"1714" "<{대학,새끼,인하대}>" 0.1456
"1715" "<{인하대},{사업,인하대}>" 0.1056
"1716" "<{대학,사업,인하대}>" 0.1696
"1717" "<{인하대},{사람,인하대}>" 0.2048
"1718" "<{대학},{사람,인하대}>" 0.1168
"1719" "<{대학,사람,인하대}>" 0.1776
"1720" "<{대학,인하대},{사람,인하대}>" 0.1104
"1721" "<{학교},{대학,인하대}>" 0.1696
"1722" "<{전국},{대학,인하대}>" 0.2768
"1723" "<{인하대},{대학,인하대}>" 0.5056
"1724" "<{인하},{대학,인하대}>" 0.1536
"1725" "<{오늘},{대학,인하대}>" 0.1664
"1726" "<{연구},{대학,인하대}>" 0.1312
"1727" "<{센터},{대학,인하대}>" 0.1744
"1728" "<{서울대},{대학,인하대}>" 0.2544
"1729" "<{사람},{대학,인하대}>" 0.1392
"1730" "<{대학},{대학,인하대}>" 0.3488
"1731" "<{대학,공동,인하대}>" 0.1168
"1732" "<{인하대,학교},{대학,인하대}>" 0.1568
"1733" "<{인하대,전국},{대학,인하대}>" 0.2768
"1734" "<{인하,전국},{대학,인하대}>" 0.104
"1735" "<{연구,전국},{대학,인하대}>" 0.1296
"1736" "<{센터,전국},{대학,인하대}>" 0.168
"1737" "<{서울대,전국},{대학,인하대}>" 0.2304
"1738" "<{대학,전국},{대학,인하대}>" 0.2624
"1739" "<{인하,인하대,전국},{대학,인하대}>" 0.104
"1740" "<{연구,인하대,전국},{대학,인하대}>" 0.1296
"1741" "<{센터,인하대,전국},{대학,인하대}>" 0.168
"1742" "<{서울대,인하대,전국},{대학,인하대}>" 0.2304
"1743" "<{대학,인하대,전국},{대학,인하대}>" 0.2624
"1744" "<{대학,인하,인하대,전국},{대학,인하대}>" 0.1008
"1745" "<{서울대,연구,인하대,전국},{대학,인하대}>" 0.1104
"1746" "<{대학,연구,인하대,전국},{대학,인하대}>" 0.128
"1747" "<{대학,서울대,연구,인하대,전국},{대학,인하대}>" 0.1088
"1748" "<{서울대,센터,인하대,전국},{대학,인하대}>" 0.1472
"1749" "<{대학,센터,인하대,전국},{대학,인하대}>" 0.1664
"1750" "<{대학,서울대,센터,인하대,전국},{대학,인하대}>" 0.1472
"1751" "<{대학,서울대,인하대,전국},{대학,인하대}>" 0.224
"1752" "<{대학,인하,전국},{대학,인하대}>" 0.1008
"1753" "<{서울대,연구,전국},{대학,인하대}>" 0.1104
"1754" "<{대학,연구,전국},{대학,인하대}>" 0.128
"1755" "<{대학,서울대,연구,전국},{대학,인하대}>" 0.1088
"1756" "<{서울대,센터,전국},{대학,인하대}>" 0.1472
"1757" "<{대학,센터,전국},{대학,인하대}>" 0.1664
"1758" "<{대학,서울대,센터,전국},{대학,인하대}>" 0.1472
"1759" "<{대학,서울대,전국},{대학,인하대}>" 0.224
"1760" "<{인하,인하대},{대학,인하대}>" 0.1536
"1761" "<{오늘,인하대},{대학,인하대}>" 0.1456
"1762" "<{연구,인하대},{대학,인하대}>" 0.1312
"1763" "<{센터,인하대},{대학,인하대}>" 0.1744
"1764" "<{서울대,인하대},{대학,인하대}>" 0.2544
"1765" "<{사람,인하대},{대학,인하대}>" 0.1184
"1766" "<{대학,인하대},{대학,인하대}>" 0.344
"1767" "<{대학,인하,인하대},{대학,인하대}>" 0.1168
"1768" "<{서울대,연구,인하대},{대학,인하대}>" 0.112
"1769" "<{대학,연구,인하대},{대학,인하대}>" 0.1296
"1770" "<{대학,서울대,연구,인하대},{대학,인하대}>" 0.1104
"1771" "<{서울대,센터,인하대},{대학,인하대}>" 0.1504
"1772" "<{대학,센터,인하대},{대학,인하대}>" 0.1712
"1773" "<{대학,서울대,센터,인하대},{대학,인하대}>" 0.1504
"1774" "<{대학,서울대,인하대},{대학,인하대}>" 0.2464
"1775" "<{대학,인하},{대학,인하대}>" 0.1168
"1776" "<{서울대,연구},{대학,인하대}>" 0.112
"1777" "<{대학,연구},{대학,인하대}>" 0.1296
"1778" "<{대학,서울대,연구},{대학,인하대}>" 0.1104
"1779" "<{서울대,센터},{대학,인하대}>" 0.1504
"1780" "<{대학,센터},{대학,인하대}>" 0.1712
"1781" "<{대학,서울대,센터},{대학,인하대}>" 0.1504
"1782" "<{대학,서울대},{대학,인하대}>" 0.2464
"1783" "<{대학},{인하}>" 0.1584
"1784" "<{대학,인하}>" 0.2912
"1785" "<{사람,인하}>" 0.1152
"1786" "<{서울대},{인하}>" 0.1072
"1787" "<{서울대,인하}>" 0.2096
"1788" "<{센터,인하}>" 0.1552
"1789" "<{오늘,인하}>" 0.1456
"1790" "<{인하대},{인하}>" 0.2416
"1791" "<{전국},{인하}>" 0.1184
"1792" "<{인하대,전국},{인하}>" 0.1184
"1793" "<{서울대,전국},{인하}>" 0.1008
"1794" "<{대학,전국},{인하}>" 0.112
"1795" "<{서울대,인하대,전국},{인하}>" 0.1008
"1796" "<{대학,인하대,전국},{인하}>" 0.112
"1797" "<{서울대,인하대},{인하}>" 0.1072
"1798" "<{대학,인하대},{인하}>" 0.1568
"1799" "<{대학,서울대,인하대},{인하}>" 0.1056
"1800" "<{대학,서울대},{인하}>" 0.1056
"1801" "<{서울대,센터,인하}>" 0.1264
"1802" "<{대학,센터,인하}>" 0.1552
"1803" "<{대학,서울대,센터,인하}>" 0.1264
"1804" "<{인하대},{서울대,인하}>" 0.1168
"1805" "<{대학,서울대,인하}>" 0.2032
"1806" "<{인하대},{대학,서울대,인하}>" 0.1136
"1807" "<{인하대},{대학,인하}>" 0.16
"1808" "<{대학},{대학,인하}>" 0.1216
"1809" "<{대학,인하대},{대학,인하}>" 0.12
"1810" "<{대학,이상}>" 0.1328
"1811" "<{서울대,이상}>" 0.1376
"1812" "<{연구,이상}>" 0.1024
"1813" "<{서울대,연구,이상}>" 0.1024
"1814" "<{대학,연구,이상}>" 0.1008
"1815" "<{대학,서울대,연구,이상}>" 0.1008
"1816" "<{대학,서울대,이상}>" 0.1328
"1817" "<{대학},{오늘}>" 0.176
"1818" "<{대학,오늘}>" 0.2256
"1819" "<{사람},{오늘}>" 0.128
"1820" "<{사람,오늘}>" 0.2512
"1821" "<{새끼,오늘}>" 0.1264
"1822" "<{서울대},{오늘}>" 0.1104
"1823" "<{서울대,오늘}>" 0.112
"1824" "<{오늘},{오늘}>" 0.144
"1825" "<{인하대},{오늘}>" 0.296
"1826" "<{전국},{오늘}>" 0.1232
"1827" "<{학교},{오늘}>" 0.1216
"1828" "<{인하대,학교},{오늘}>" 0.1088
"1829" "<{인하대,전국},{오늘}>" 0.1232
"1830" "<{대학,전국},{오늘}>" 0.1152
"1831" "<{대학,인하대,전국},{오늘}>" 0.1152
"1832" "<{오늘,인하대},{오늘}>" 0.1152
"1833" "<{서울대,인하대},{오늘}>" 0.1104
"1834" "<{사람,인하대},{오늘}>" 0.1072
"1835" "<{대학,인하대},{오늘}>" 0.168
"1836" "<{대학,서울대,인하대},{오늘}>" 0.1056
"1837" "<{대학,서울대},{오늘}>" 0.1056
"1838" "<{대학,서울대,오늘}>" 0.104
"1839" "<{인하대},{사람,오늘}>" 0.1248
"1840" "<{인하대},{대학,오늘}>" 0.1056
"1841" "<{대학},{연구}>" 0.1376
"1842" "<{대학,연구}>" 0.328
"1843" "<{사업,연구}>" 0.1184
"1844" "<{서울대},{연구}>" 0.1056
"1845" "<{서울대,연구}>" 0.3024
"1846" "<{센터,연구}>" 0.2464
"1847" "<{인하대},{연구}>" 0.1856
"1848" "<{전국},{연구}>" 0.1152
"1849" "<{인하대,전국},{연구}>" 0.1152
"1850" "<{대학,전국},{연구}>" 0.1088
"1851" "<{대학,인하대,전국},{연구}>" 0.1088
"1852" "<{서울대,인하대},{연구}>" 0.1056
"1853" "<{대학,인하대},{연구}>" 0.1344
